id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
60685,"Passagem Alberto Engelhardo - Curió-Utinga, Belém - PA, 66610-330, Brasil",Norte,Pará,BELEM,CURIO UTINGA,,,-1.4312150297507764,-48.44891773252146,"05/11/2023, 18:00:00",false,true,,Briga,,Outros,false,d4ddb7cf-908b-41ac-86c8-6c8168b396f6,People,wounded,Sem identificação,,Agent,,adulto,homem cis,Não identificado,residência,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,não identificado,aposentado / exonerado,Não identificado
60623,"R. São Pedro, Mario Couto - Decouville, Marituba - PA, 67103-000, Brasil",Norte,Pará,MARITUBA,DECOUVILLE,,MARIO COUTO,-1.3797666,-48.3316898,"06/11/2023, 03:00:00",false,false,Não se aplica,Homicidio/Tentativa,,,false,7edc018c-488e-4784-9458-21e1fb54f779,People,wounded,Sem identificação,,Civilian,45,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60623,"R. São Pedro, Mario Couto - Decouville, Marituba - PA, 67103-000, Brasil",Norte,Pará,MARITUBA,DECOUVILLE,,MARIO COUTO,-1.3797666,-48.3316898,"06/11/2023, 03:00:00",false,false,Não se aplica,Homicidio/Tentativa,,,false,d4c25232-c41d-4e15-9ff8-48c63a4cb836,People,dead,Sem identificação,"06/11/2023, 03:00:00",Civilian,40,adulto,mulher cis,Branca,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60691,"Caicara, Castanhal - PA, Brasil",Norte,Pará,CASTANHAL,CAICARA,,,-1.2817983985310275,-47.920435976860034,"07/11/2023, 18:00:00",false,false,NÃO SE APLICA,Homicidio/Tentativa,,,false,099f7591-5816-4281-93a2-e6efaef44c3d,People,dead,Sem identificação,"07/11/2023, 18:00:00",Civilian,30,adulto,homem cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60718,"Residencial Viver Maracá - Estrada do Outeiro - Maracacuera, Belém - PA, Brasil",Norte,Pará,BELEM,MARACACUERA,,CONJUNTO HABITACIONAL VIVER MARACA,-1.2985086,-48.4528409,"09/11/2023, 19:00:00",true,true,10° BPM,Ação policial,,,false,eea2b468-039d-4a46-a40b-53a790605380,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60759,"Passagem Napoleão Laureano - Guamá, Belém - PA, 66073-640, Brasil",Norte,Pará,BELEM,GUAMA,,,-1.4599607894422133,-48.46008760842537,"12/11/2023, 19:00:00",false,false,Não se aplica,Homicidio/Tentativa,,,false,8a8dfa16-0b32-4db5-ae92-d38d576209e2,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60772,"Passagem Jardim Brasil II, 66 - Levilândia, Ananindeua - PA, 67015-690, Brasil",Norte,Pará,ANANINDEUA,CIDADE NOVA,,LEVILANDIA,-1.3782221,-48.3985519,"14/11/2023, 00:20:00",false,false,NÃO SE APLICA,Homicidio/Tentativa,,,false,d2d710cc-0900-48c7-8a60-1402fefc0334,People,dead,Sem identificação,"14/11/2023, 00:20:00",Civilian,,adulto,homem cis,Branca,outros,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60795,"Tv. Mauriti - Pedreira, Belém - PA, 66080-650, Brasil",Norte,Pará,BELEM,PEDREIRA,,,-1.4279533317790376,-48.47221902778927,"14/11/2023, 18:00:00",false,false,Não se aplica,Tentativa/Roubo,,Ataques armados sobre rodas,false,a7d6abe0-6f3d-4d83-a2d2-e0ccc59ff22b,People,dead,Sem identificação,"18/11/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,automóvel,não identificado,Motorista de aplicativo,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60807,"Rod. Eng. Augusto Meira Filho, PA-391  - Porto Arthur (Mosqueiro), Belém - PA, Brasil",Norte,Pará,BELEM,PORTO ARTHUR,,,-1.1389309645330519,-48.368029604997474,"15/11/2023, 11:00:00",true,true,25º BPM,Ação policial,,,false,8f4e1f94-621f-4d8e-aa82-d1795143f2aa,People,dead,Sem identificação,"15/11/2023, 11:00:00",Civilian,23,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60837,"Pantanal, Castanhal - PA, 68741-370, Brasil",Norte,Pará,CASTANHAL,PANTANAL,,,-1.3156807011031655,-47.94997341323969,"16/11/2023, 16:00:00",false,false,Não se aplica,Disputa,,,false,e25a0cbf-8713-4850-95e5-d1f48f53733e,People,dead,Sem identificação,"16/11/2023, 16:00:00",Civilian,29,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60839,"R. VIII, Conjunto Ypê Rosa - Fonte Boa, Castanhal - PA, 68742-857, Brasil",Norte,Pará,CASTANHAL,FONTE BOA,,CONJUNTO YPE ROSA,-1.2767117,-47.9463959,"16/11/2023, 16:00:00",true,true,TÁTICO SUBCMD,Ação policial,,,false,a1d36286-7fe6-4b2d-bc52-e669bdb5b242,People,dead,Sem identificação,"16/11/2023, 16:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60838,"Tv. Brasil - Pantanal, Castanhal - PA, Brasil",Norte,Pará,CASTANHAL,PANTANAL,,,-1.3163055627467373,-47.95076927628605,"17/11/2023, 06:00:00",false,false,Não se aplica,Disputa,,,false,a2f06ce4-da93-4f9e-8dd2-e474a40fc382,People,dead,Sem identificação,"17/11/2023, 06:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não identificado,Outros,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60884,"Tv. We-31 (Cj Cidade Nova V) - Invasão do Cinco, Cidade Nova, Ananindeua - PA, 67133-140, Brasil",Norte,Pará,ANANINDEUA,COQUEIRO,,INVASAO DO CINCO,-1.3613145889549352,-48.392008741295605,"17/11/2023, 15:30:00",true,true,6° BPM,Ação policial,,,false,27f4f733-93c3-4586-9acd-be33159583f2,People,dead,Sem identificação,"17/11/2023, 15:30:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
